InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra
South Carolina,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
South Dakota,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Tennessee,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Texas,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Utah,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Vermont,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Virginia,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Washington,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
West Virginia,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Wisconsin,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Montana,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Hawaii,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Wyoming,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
Alaska,baseline,3/13/2020,0.25,9/8/2020,0.75,3/11/2020,0.09,0.25,0.45,0.65,3/29/2020,5/1/2020,9/7/2020,0.25,0.75,,0.9,,3/6/2020,4/1/2020,4/30/2021,0,0
