STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
4,11,Arizona,Greenlee County,Greenlee County,9483,-109.2402169,33.21548318
4,13,Arizona,Maricopa County,Maricopa County,4410824,-112.4912825,33.34882944
26,129,Michigan,Ogemaw County,Ogemaw County,20952,-84.12641366,44.33493926
47,87,Tennessee,Jackson County,Jackson County,11758,-85.67315079,36.35921152
17,159,Illinois,Richland County,Richland County,15763,-88.08510127,38.71236044
1,9,Alabama,Blount County,Blount County,57840,-86.56737096,33.98086739
30,51,Montana,Liberty County,Liberty County,2430,-111.0245801,48.56175465
48,131,Texas,Duval County,Duval County,11212,-98.50890599,27.68133301
29,173,Missouri,Ralls County,Ralls County,10212,-91.52202422,39.52767017
48,251,Texas,Johnson County,Johnson County,171361,-97.36632973,32.37901314
13,61,Georgia,Clay County,Clay County,2887,-84.98010291,31.62627552
41,23,Oregon,Grant County,Grant County,7176,-119.0073542,44.49150064
41,11,Oregon,Coos County,Coos County,64389,-124.0933188,43.18516207
48,159,Texas,Franklin County,Franklin County,10766,-95.2184194,33.17554868
36,113,New York,Warren County,Warren County,64265,-73.84600596,43.56097521
51,113,Virginia,Madison County,Madison County,13295,-78.27922447,38.41370416
40,5,Oklahoma,Atoka County,Atoka County,13838,-96.03782596,34.37371984
17,129,Illinois,Menard County,Menard County,12288,-89.80217024,40.02739689
13,15,Georgia,Bartow County,Bartow County,106408,-84.84050786,34.23786353
12,69,Florida,Lake County,Lake County,356495,-81.71130318,28.76146885
40,111,Oklahoma,Okmulgee County,Okmulgee County,38335,-95.96430817,35.64666488
38,83,North Dakota,Sheridan County,Sheridan County,1349,-100.3456591,47.57541231
18,49,Indiana,Fulton County,Fulton County,20092,-86.26358369,41.0469633
20,91,Kansas,Johnson County,Johnson County,597555,-94.82226104,38.88376851
24,9,Maryland,Calvert County,Calvert County,92003,-76.53056447,38.534712
55,129,Wisconsin,Washburn County,Washburn County,15878,-91.79123464,45.89917916
53,31,Washington,Jefferson County,Jefferson County,31729,-123.5764739,47.77643664
72,3,NA,NA,Aguada Municipio,NA,-67.18672882,18.376289
27,169,Minnesota,Winona County,Winona County,50825,-91.77912943,43.98684966
28,149,Mississippi,Warren County,Warren County,46176,-90.85201121,32.35722962
29,3,Missouri,Andrew County,Andrew County,17607,-94.80204594,39.98348787
29,139,Missouri,Montgomery County,Montgomery County,11534,-91.4702088,38.94149104
20,21,Kansas,Cherokee County,Cherokee County,20015,-94.84626898,37.16930606
37,83,North Carolina,Halifax County,Halifax County,50574,-77.65173298,36.25744855
35,43,New Mexico,Sandoval County,Sandoval County,145179,-106.8659509,35.68860455
21,51,Kentucky,Clay County,Clay County,20105,-83.7146627,37.15969757
42,35,Pennsylvania,Clinton County,Clinton County,38684,-77.63810583,41.23405437
41,43,Oregon,Linn County,Linn County,127335,-122.534995,44.48887877
55,65,Wisconsin,Lafayette County,Lafayette County,16665,-90.13172201,42.66049937
40,147,Oklahoma,Washington County,Washington County,51843,-95.90436999,36.71523632
54,77,West Virginia,Preston County,Preston County,33839,-79.66816199,39.46929687
69,100,NA,NA,Rota Municipality,NA,145.2151661,14.15154296
55,135,Wisconsin,Waupaca County,Waupaca County,51128,-88.96479281,44.47046117
48,137,Texas,Edwards County,Edwards County,1928,-100.3047417,29.98263295
41,37,Oregon,Lake County,Lake County,7879,-120.3873376,42.79346138
29,153,Missouri,Ozark County,Ozark County,9017,-92.44466357,36.64932189
48,473,Texas,Waller County,Waller County,53126,-95.98765334,30.01080512
1,99,Alabama,Monroe County,Monroe County,21067,-87.36543078,31.57083669
50,9,Vermont,Essex County,Essex County,6250,-71.73619376,44.72794034
51,111,Virginia,Lunenburg County,Lunenburg County,12086,-78.24056491,36.94620967
38,97,North Dakota,Traill County,Traill County,8037,-97.16158052,47.45418492
13,139,Georgia,Hall County,Hall County,202148,-83.81968095,34.31688919
13,283,Georgia,Treutlen County,Treutlen County,6809,-82.56728253,32.4038815
13,37,Georgia,Calhoun County,Calhoun County,6352,-84.62450769,31.52919727
55,125,Wisconsin,Vilas County,Vilas County,21938,-89.51484562,46.05289859
27,7,Minnesota,Beltrami County,Beltrami County,46847,-94.93765445,47.9737829
72,43,NA,NA,Coamo Municipio,NA,-66.36016992,18.09730467
72,55,NA,NA,Guánica Municipio,NA,-66.92193818,17.9463619
24,19,Maryland,Dorchester County,Dorchester County,31998,-76.08332531,38.42260804
42,37,Pennsylvania,Columbia County,Columbia County,65456,-76.40515008,41.04865346
39,23,Ohio,Clark County,Clark County,134585,-83.78389674,39.91677682
48,323,Texas,Maverick County,Maverick County,58485,-100.314514,28.74259011
4,19,Arizona,Pima County,Pima County,1039073,-111.7899302,32.09738665
35,6,New Mexico,Cibola County,Cibola County,26746,-107.9997243,34.91257799
34,5,New Jersey,Burlington County,Burlington County,445384,-74.66806775,39.87771719
50,21,Vermont,Rutland County,Rutland County,58672,-73.03660874,43.58009157
13,99,Georgia,Early County,Early County,10247,-84.90364342,31.32283271
25,7,Massachusetts,Dukes County,Dukes County,17352,-70.69877158,41.38877474
38,49,North Dakota,McHenry County,McHenry County,5816,-100.6362825,48.23458102
31,179,Nebraska,Wayne County,Wayne County,9403,-97.11926027,42.20928856
38,45,North Dakota,LaMoure County,LaMoure County,4062,-98.53545924,46.45691374
16,23,Idaho,Butte County,Butte County,2611,-113.172034,43.72293261
33,7,New Hampshire,Coos County,Coos County,31589,-71.30553265,44.68949564
38,43,North Dakota,Kidder County,Kidder County,2450,-99.78009152,46.98014341
48,273,Texas,Kleberg County,Kleberg County,31129,-97.66838777,27.42671082
18,127,Indiana,Porter County,Porter County,169594,-87.07331914,41.50883829
28,101,Mississippi,Newton County,Newton County,21443,-89.11880852,32.40023235
37,163,North Carolina,Sampson County,Sampson County,63626,-78.37139061,34.99153616
47,127,Tennessee,Moore County,Moore County,6411,-86.35877112,35.28461741
12,103,Florida,Pinellas County,Pinellas County,975280,-82.73955394,27.9026762
72,19,NA,NA,Barranquitas Municipio,NA,-66.30987257,18.20170623
