FID,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Longitude,Latitude,Population
122,Coimbatore,Tamil Nadu,33,31,632,76.97557995,10.87452431,466594663
123,Cuddalore,Tamil Nadu,33,16,617,79.450898,11.53503134,312784894
125,Cuttack,Odisha,21,12,381,85.70574451,20.44959292,272803407
126,Dadra & Nagar Haveli,Dadara & Nagar Havelli,26,1,496,73.07065315,20.19505341,34926531
127,Dakshin Bastar Dantewada,Chhattisgarh,22,17,416,81.37963979,18.49995759,65369428
128,Dakshin Dinajpur,West Bengal,19,5,331,88.58818403,25.36400588,172515728
129,Dakshina Kannada,Karnataka,29,21,575,75.26665092,12.8382206,220775862
130,Daman,Daman & Diu,25,2,495,72.85235362,20.41406464,15852110
131,Damoh,Madhya Pradesh,23,11,428,79.52730687,23.81278514,166480969
132,Darbhanga,Bihar,10,13,215,86.02528908,26.11379569,513175331
133,Darjiling,West Bengal,19,1,327,88.39468208,26.91346514,186281272
134,Darrang,Assam,18,26,325,92.03740311,26.44926545,100072398
135,Data Not Available,Jammu & Kashmir,99,99,0,74.90383187,35.53080821,0
136,Datia,Madhya Pradesh,23,5,422,78.56875772,25.85045794,95424543
627,Dausa,Rajasthan,8,11,109,76.51394712,26.85609563,169209238
137,Davanagere,Karnataka,29,13,567,75.95476983,14.4080321,215040563
138,Debagarh,Odisha,21,4,373,84.80371436,21.46593563,34269649
139,Dehradun,Uttarakhand,5,5,60,77.97324665,30.46350511,221587304
140,Deoghar,Jharkhand,20,5,350,86.74114072,24.32797426,185802410
141,Deoria,Uttar Pradesh,9,59,190,83.83656572,26.42273671,306261613
142,Dewas,Madhya Pradesh,23,20,437,76.45640258,22.74508989,197804309
143,Dhalai,Tripura,16,3,291,91.92590581,23.8430719,37040698
144,Dhamtari,Chhattisgarh,22,13,412,81.81050004,20.55613893,99494176
145,Dhanbad,Jharkhand,20,9,354,86.47194281,23.82926017,290116942
146,Dhar,Madhya Pradesh,23,21,438,75.10413899,22.49742875,264494400
147,Dharmapuri,Tamil Nadu,33,29,630,78.19578808,12.09688523,182219919
148,Dharwad,Karnataka,29,8,562,75.15383896,15.38935194,225938458
149,Dhaulpur,Rajasthan,8,8,106,77.70334294,26.68078782,128463228
150,Dhemaji,Assam,18,9,308,94.77781797,27.5777455,71917549
151,Dhenkanal,Odisha,21,14,383,85.52621282,20.82617481,128721289
152,Dhubri,Assam,18,2,301,90.02237522,26.067486,215166144
153,Dhule,Maharashtra,27,2,498,74.60109546,21.1098766,238475798
154,Dibang Valley,Arunanchal Pradesh,12,13,257,95.90275252,28.95130317,351901
155,Dibrugarh,Assam,18,11,310,95.05617371,27.36644273,141375929
414,Dima Hasao,Assam,18,16,315,93.03417167,25.37705236,19710603
164,Dimapur,Nagaland,13,5,265,93.78508393,25.77852487,36915117
156,Dindigul,Tamil Nadu,33,11,612,77.82003497,10.38975998,278948566
157,Dindori,Madhya Pradesh,23,36,453,81.05610082,22.88893949,84690869
158,Diu,Daman & Diu,25,1,494,70.93986822,20.72089152,4113793
159,Doda,Jammu & Kashmir,1,16,16,75.64970149,33.10081441,43960040
160,Dohad,Gujarat,24,18,485,74.11594961,22.85727372,200009556
161,Dumka,Jharkhand,20,17,362,87.26663685,24.31967578,149538655
162,Dungarpur,Rajasthan,8,26,124,73.85513491,23.73248836,162127055
163,Durg,Chhattisgarh,22,10,409,81.35384258,21.19118908,390060999
165,East,NCT of Delhi,7,4,93,77.29802345,28.62924772,158202323
166,East,Sikkim,11,4,244,88.67804674,27.29275822,27539368
167,East Garo Hills,Meghalaya,17,2,294,90.63422132,25.73516922,36648776
168,East Godavari,Andhra Pradesh,28,14,545,82.01183244,17.18854879,622994700
169,East Kameng,Arunanchal Pradesh,12,3,247,92.96800936,27.44111602,6962122
170,East Khasi Hills,Meghalaya,17,6,298,91.80065106,25.38040384,89903146
171,East Nimar,Madhya Pradesh,23,49,466,76.57143915,21.93618581,6724761
172,East Siang,Arunanchal Pradesh,12,7,251,95.16339311,28.12378598,372819225
173,Ernakulam,Kerala,32,8,595,76.47268171,10.05765788,336366409
174,Erode,Tamil Nadu,33,9,610,77.41430166,11.51520113,183507463
175,Etah,Uttar Pradesh,9,70,201,78.71318632,27.51206413,164911904
176,Etawah,Uttar Pradesh,9,30,161,79.09655133,26.75928656,246532263
177,Faizabad,Uttar Pradesh,9,46,177,81.99242371,26.65891358,291877827
178,Faridabad,Haryana,6,20,88,77.35476526,28.33271956,110721892
179,Faridkot,Punjab,3,11,45,74.77916852,30.6108634,200556037
180,Farrukhabad,Uttar Pradesh,9,28,159,79.46134289,27.43037677,109208027
181,Fatehabad,Haryana,6,10,78,75.57915882,29.57642801,61174214
182,Fatehgarh Sahib,Punjab,3,6,40,76.3653157,30.63222075,261492891
183,Fatehpur,Uttar Pradesh,9,41,172,80.80699167,25.87333504,267149529
184,Firozabad,Uttar Pradesh,9,16,147,78.53986693,27.18060459,207969421
185,Firozpur,Punjab,3,9,43,74.40090333,30.56048702,119642240
186,Gadag,Karnataka,29,7,561,75.666278,15.43106597,108740206
187,Gajapati,Odisha,21,20,389,84.16068016,19.17338272,65576428
188,Ganderbal,Jammu & Kashmir,1,11,11,75.19996408,34.29466593,31722161
189,Gandhinagar,Gujarat,24,6,473,72.69233484,23.2550049,172361168
190,Ganganagar,Rajasthan,8,1,99,73.56315462,29.39547741,233304921
191,Ganjam,Odisha,21,19,388,84.67106829,19.62693314,348533907
192,Garhchiroli,Maharashtra,27,12,508,80.24108252,19.78491761,155791455
193,Garhwa,Jharkhand,20,1,346,83.69932588,24.10104884,73094692
194,Garhwal,Uttarakhand,5,6,61,78.76962335,29.89286913,216503368
195,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,77.54705734,28.39786218,522150879
196,Gaya,Bihar,10,34,236,84.93599496,24.69907585,569445009
