state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,encounters_rate_norm,daily_encounter_diff,AverageDiff
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/13/2021,4,POST,D+,2.3,-0.295227302,D,2,0.035289997,F,1,-0.910632275,2.227575864,1.227575864,0.322546186
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/14/2021,5,POST,D+,2.3,-0.259840894,D,2,-0.169453301,F,1,-0.908387964,2.222085862,1.222085862,0.264263889
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/15/2021,6,POST,D+,2.3,-0.347523665,D,2,-0.008603518,F,1,-0.860374427,2.104635823,1.104635823,0.24950288
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/16/2021,7,POST,D+,2.3,-0.290493345,D,2,-0.083728793,F,1,-0.859307459,2.102025822,1.102025822,0.242601228
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/17/2021,1,POST,D+,2.3,-0.364829643,D,2,-0.152769204,F,1,-0.890175932,2.177535847,1.177535847,0.219979
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/18/2021,2,POST,D+,2.3,-0.290107694,D,2,0.355340167,F,1,-0.867107359,2.121105828,1.121105828,0.3954461
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/19/2021,3,POST,D+,2.3,-0.363622624,D,2,-0.076800441,F,1,-0.910963403,2.228385864,1.228385864,0.262654266
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/20/2021,4,POST,D+,2.3,-0.324077648,D,2,-0.009311422,F,1,-0.8999626,2.201475855,1.201475855,0.289362262
MD,24,Maryland,24035,Queen Anne's County,50251,2021-01-25 13:52:04.598522 UTC,1/21/2021,5,POST,D,2,-0.23152645,F,1,-0.217046427,F,1,-0.905003101,2.213805859,1.213805859,0.255077661
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,2/24/2020,2,PRE,F,1,-0.011923632,F,1,-0.053668676,F,1,1.308618589,0.973663043,-0.026336957,-0.030643089
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,2/25/2020,3,PRE,F,1,0.020767745,F,1,-0.052696865,F,1,1.256044275,0.934545711,-0.065454289,-0.032461136
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,2/26/2020,4,PRE,F,1,0.022166281,F,1,-0.001879024,F,1,1.551703309,1.154527513,0.154527513,0.05827159
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,2/27/2020,5,PRE,F,1,0.061694488,F,1,-0.08589313,F,1,1.500958992,1.116771771,0.116771771,0.03085771
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,2/28/2020,6,PRE,F,1,0.069302993,F,1,-0.08926983,F,1,1.684149406,1.253072552,0.253072552,0.077701905
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,2/29/2020,7,PRE,F,1,-0.002332972,F,1,0.070049088,F,1,1.4290172,1.063244284,0.063244284,0.043653467
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/1/2020,1,PRE,F,1,0.051003952,F,1,-0.055223018,F,1,0.617946885,0.459776477,-0.540223523,-0.181480863
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/2/2020,2,PRE,F,1,0.00809491,F,1,-0.095905217,F,1,1.242014291,0.924106859,-0.075893141,-0.054567816
