Num,startDate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
87,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.924740304,0.042813768,0.030414542,0.761866392,0.267243827,0.107096315,0.818644296,0.245053311,0.302410445,2.789995803,5.791775947,9.113214299,6.186714121,0.233392122,15.58174647,3.949555822,5.418049019,0.391268997,2.38287788,1.457535284,46,36,0.041779566,0.702970549,0.733492919,4,0.29,0.43,0.85,0.743482961,0.28,0,0.196520535
88,2020-02-14,0.99,0.01,0.0002,0.99,0.01,0.0002,0.882979083,0.038221812,0.024184287,0.72998214,0.23350648,0.133323425,0.727895353,0.259989966,0.3021252,2.981451897,4.578555256,9.438077072,6.238923675,0.168797439,16.62738537,3.719851621,7.940170699,0.360019688,1.070878208,1.884497236,44,36,0.040719316,0.764268391,0.762643328,9,0.38,0.42,0.72,0.859528103,0.28,0,0.427153926
89,2020-02-14,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864915746,0.041005915,0.020724607,0.80833647,0.239698418,0.100184825,0.85292789,0.260447275,0.352567531,3.587005512,5.607386558,8.935224118,6.275363074,0.194913411,16.7727109,3.571894476,7.136699661,0.372933604,1.931127159,1.860437031,53,36,0.037951325,0.682934702,0.654111347,7,0.38,0.57,0.88,0.880033757,0.4,0,0.376506672
90,2020-02-10,0.99,0.01,0.0002,0.99,0.01,0.0002,0.910087682,0.046400817,0.035991941,0.864328238,0.248645988,0.100787354,0.826581792,0.25537668,0.3637503,3.747822561,4.819638389,8.320784424,5.559370881,0.158376566,14.84838987,4.986875664,7.247505712,0.32578488,2.671659512,1.056188693,88,36,0.040355669,0.896142077,0.727877444,10,0.35,0.45,0.86,0.895073671,0.24,0,0.157698782
91,2020-02-17,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911410258,0.036015417,0.034846623,0.721102695,0.243152428,0.116981925,0.761537794,0.267847686,0.336734471,2.482855475,4.635318233,8.799975372,6.49387325,0.235691835,16.40396202,4.704583037,6.365739196,0.312944755,2.329745326,1.076291334,66,36,0.040136214,0.860273724,0.616391008,10,0.32,0.48,0.88,0.875350736,0.38,0,0.741899107
92,2020-02-10,0.99,0.01,0.0002,0.99,0.01,0.0002,0.868361319,0.04151701,0.034868565,0.850883161,0.267959058,0.143589452,0.776177305,0.26668469,0.358730786,2.570354809,5.955662365,9.765886155,6.548483711,0.199962117,16.09246419,4.11479707,6.374080212,0.32846587,1.187541417,1.068583384,40,36,0.041846958,0.794954998,0.729579709,4,0.18,0.49,0.75,0.768883052,0.25,0,0.590069281
93,2020-02-11,0.99,0.01,0.0002,0.99,0.01,0.0002,0.862268807,0.049364304,0.023117069,0.861359293,0.253775715,0.128351313,0.801805216,0.246975362,0.350015328,3.850339013,5.865608033,9.270162105,5.978278248,0.239058869,15.36786486,3.601569752,5.163026768,0.368923145,1.708276507,1.726619934,49,36,0.040347375,0.688639513,0.564920257,10,0.17,0.54,0.78,0.86171339,0.19,0,0.908580875
94,2020-02-08,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911908335,0.049563677,0.029871666,0.893409421,0.242881284,0.134576725,0.802866286,0.244633141,0.352031755,2.784917354,5.684657193,9.086600757,6.410028085,0.162413187,16.81492555,4.947092416,5.273497968,0.274656574,2.732142734,1.062570916,79,36,0.039329772,0.80544399,0.779220718,4,0.15,0.53,0.74,0.795335625,0.31,0,0.674180857
95,2020-02-10,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864612642,0.045844653,0.02608021,0.824800081,0.230822729,0.100586706,0.870444169,0.258309072,0.333901941,2.449053557,5.449162476,9.002052231,6.275583254,0.232551358,15.74406826,3.5603104,6.83108491,0.241547493,1.028809676,1.873956773,22,36,0.038601459,0.686130071,0.770657613,3,0.32,0.45,0.78,0.837778011,0.45,0,0.277352693
96,2020-02-11,0.99,0.01,0.0002,0.99,0.01,0.0002,0.899300723,0.037515412,0.038503114,0.727214309,0.255954428,0.113666476,0.898284652,0.247615266,0.309947637,3.011767579,4.813496935,9.469902407,5.790961611,0.210378735,15.07172421,4.966215554,7.095225282,0.268544584,2.472652907,1.650271803,98,36,0.039064687,0.881314327,0.558658335,6,0.32,0.56,0.81,0.885969288,0.41,0,0.294312051
