key,startdate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
382,2/4/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.897885393,0.089354468,0.069177013,0.853986901,0.254749405,0.188553742,0.822423231,0.54870618,0.49945016,2.684591342,4.340662923,9.388898731,6.38136891,0.412682283,16.12308695,4.614472753,7.514675161,0.360140199,2.308143218,1.263929153,25,36,0.040571991,0.871392748,0.674332747,5,0.148388368,0.523692161,0.75,0.702464471,0.22,0,0.9
237,2/4/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.91350183,0.107102749,0.056917425,0.896748371,0.255282271,0.230005071,0.739401727,0.55017044,0.499754821,2.491832285,4.041775561,8.14709883,6.723052196,0.425429926,16.60837415,3.315470674,6.256922378,0.340283391,2.90157558,1.849166867,17,36,0.041489331,0.612905106,0.610001333,10,0.215654617,0.558002147,0.75,0.63877672,0.34,0,0.3
673,2/4/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.91717745,0.11079135,0.081469317,0.899161883,0.236914621,0.201376551,0.820395436,0.577001085,0.422658657,2.553733291,5.338385609,8.724463834,5.289434964,0.411396892,15.04349727,3.853780515,5.732184618,0.305864643,2.358645512,1.845150973,97,36,0.041750305,0.840447665,0.541613314,8,0.165723893,0.537310424,0.75,0.600311022,0.31,0,0.5
1,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866235767,0.104827353,0.067900425,0.711107209,0.248500441,0.173233483,0.847025002,0.512872403,0.483381937,2.74602925,4.028513658,8.776666671,6.872147942,0.414079985,16.24688309,3.287907496,5.261729326,0.379701417,2.099248664,1.591738959,71,36,0.039535816,0.744184337,0.726372973,6,0.137724363,0.567243826,0.75,0.704160561,0.23,0,1
9,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864487643,0.11320662,0.066181172,0.743726862,0.257032333,0.223311383,0.737239499,0.519223667,0.476660461,2.422122185,4.459896877,8.070971302,5.691811713,0.448114437,15.17030739,3.388718678,7.637944736,0.35604329,1.07016035,1.645018506,68,36,0.040297518,0.895712109,0.707827707,4,0.189647695,0.483238456,0.75,0.6089259,0.31,0,0.6
359,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.859530083,0.101405144,0.075985011,0.745928689,0.23294229,0.165792568,0.847992118,0.597924885,0.447156329,2.041687686,4.064430612,9.125438999,6.246610586,0.422440555,16.90071591,4.548229555,7.397447416,0.255702147,2.646333765,1.639445549,45,36,0.040421673,0.747038366,0.711341235,5,0.152632772,0.579869778,0.75,0.553442262,0.27,0,0.8
943,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.922649113,0.117185852,0.052442022,0.763877487,0.253754269,0.170005519,0.891419935,0.543251281,0.424440537,2.230441896,5.751370837,8.031881637,6.016802258,0.409906177,15.66828343,4.101964022,6.775686432,0.383839058,1.644571869,1.249385596,30,36,0.041600414,0.709758486,0.686750202,5,0.140630103,0.451936328,0.75,0.649686946,0.5,0,1
270,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.865796143,0.116834506,0.057235836,0.789156202,0.254691882,0.16736975,0.87260816,0.593650831,0.447340545,2.449798777,4.820787723,8.289944576,5.135062389,0.405632099,14.74594791,4.106012523,7.10410465,0.22081982,1.821878264,1.476985518,26,36,0.037204992,0.716202284,0.522976188,3,0.239719301,0.517731689,0.75,0.707817991,0.19,0,0.3
614,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.907378701,0.10883729,0.08491379,0.808747651,0.235716093,0.163102746,0.800372713,0.583658986,0.439216315,2.088502748,4.859634173,9.206843546,5.883024258,0.420051586,15.6811359,4.566117867,7.954031334,0.203640242,1.938884565,1.736307903,56,36,0.038299894,0.849829937,0.824936134,9,0.156117705,0.468939117,0.75,0.592039836,0.29,0,0.8
48,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.904193977,0.091786655,0.078044859,0.821738073,0.262331316,0.210806906,0.740053663,0.560899482,0.473636798,2.581024576,4.78875188,8.413846667,6.587333397,0.415539838,17.13689442,3.958406311,6.988350684,0.331888209,1.261450714,1.669887588,96,36,0.039868616,0.632552916,0.760458976,6,0.212571791,0.464266393,0.75,0.693729353,0.44,0,0.6
