Zip,CurrentCases,PriorCases,NewCases,FoundInFile,State
20878,447,412,35,1,MD
20877,977,908,69,1,MD
20876,352,326,26,1,MD
20875,3,3,0,1,MD
20874,705,661,44,1,MD
20873,1,1,0,1,MD
20872,122,114,8,1,MD
20871,123,115,8,1,MD
20868,5,5,0,1,MD
20866,167,151,16,1,MD
20862,1,1,0,1,MD
20861,12,11,1,1,MD
20860,78,70,8,1,MD
20859,1,1,0,1,MD
20855,132,120,12,1,MD
20854,295,284,11,1,MD
20853,502,461,41,1,MD
20852,407,367,40,1,MD
20851,255,223,32,1,MD
20850,562,511,51,1,MD
20848,1,1,0,1,MD
20847,1,1,0,1,MD
20842,4,4,0,1,MD
20841,66,61,5,1,MD
20837,27,27,0,1,MD
20833,47,48,0,1,MD
20832,175,161,14,1,MD
20830,4,4,0,1,MD
20827,2,2,0,1,MD
20825,1,1,0,1,MD
20824,2,2,0,1,MD
20818,9,7,2,1,MD
20817,225,209,16,1,MD
20816,63,54,9,1,MD
20815,201,185,16,1,MD
20814,246,226,20,1,MD
20812,2,2,0,1,MD
20794,531,431,100,1,MD
20792,1,1,0,1,MD
20787,4,4,0,1,MD
20785,830,771,59,1,MD
20784,1125,1057,68,1,MD
20783,2322,2165,157,1,MD
20782,1116,1049,67,1,MD
20781,388,368,20,1,MD
20779,4,4,0,1,MD
20778,9,8,1,1,MD
20777,11,12,0,1,MD
20776,16,16,0,1,MD
20774,531,487,44,1,MD
20773,1,1,0,1,MD
20772,526,505,21,1,MD
20771,1,1,0,1,MD
20770,405,379,26,1,MD
20769,134,123,11,1,MD
20765,2,2,0,1,MD
20764,21,19,2,1,MD
20763,34,32,2,1,MD
20762,5,5,0,1,MD
20759,25,16,9,1,MD
20758,1,1,0,1,MD
20757,3,3,0,1,MD
20755,12,11,1,1,MD
20754,29,24,5,1,MD
20753,1,1,0,1,MD
20751,8,7,1,1,MD
20750,3,3,0,1,MD
20748,598,557,41,1,MD
20747,626,592,34,1,MD
20746,414,392,22,1,MD
20745,554,518,36,1,MD
20744,747,697,50,1,MD
20743,626,581,45,1,MD
20742,2,2,0,1,MD
20740,376,353,23,1,MD
20737,959,919,40,1,MD
20736,37,35,2,1,MD
20735,663,629,34,1,MD
20733,18,16,2,1,MD
20732,39,35,4,1,MD
