key,startdate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,
1129,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8662357666483741,0.10482735288708693,0.06790042512062652,0.7111072088804711,0.24850044051429487,0.17323348294269658,0.8470250022062873,0.5128724032751062,0.4833819371265883,2.746029249677874,4.028513657760371,8.776666671303873,6.872147941707991,0.41407998497825893,16.24688308581482,3.2879074959927572,5.261729326178083,0.37970141721531236,2.0992486643052253,1.5917389586416388,73,36.0,0.0395358162021086,0.7441843367048164,0.726372972534072,6,0.12995400133271073,0.5658634003365959,0.7500000000000009,0.704160560950393,0.4,0,
1130,2020-02-03,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8590088186814373,0.08181933549246917,0.09758848186977113,0.7789839634097578,0.24705167072247008,0.191439261713875,0.8969098289990765,0.5983456919284054,0.41601653231599406,3.741447017558099,5.223092284051799,9.97102037958434,5.212833309707973,0.41787590015791193,14.800134522625964,3.9297016226637203,6.100848652819108,0.39928986121066506,2.5510245738530033,1.3702145689438407,84,36.0,0.04157437456731276,0.8561170459513443,0.6177423307618459,8,0.2371012603369105,0.5547439837811756,0.7500000000000009,0.7113655389908419,0.27,0,
1131,2020-02-09,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9235858091322016,0.08010663182459359,0.056206914936940466,0.890558849864792,0.24311938820290124,0.16817945954731936,0.8410898154016616,0.5616583861761811,0.45468923394934296,3.515160987817959,5.032194649370373,9.202969613306369,6.091477555208184,0.4381038730186285,16.61216193210877,3.734377715319805,6.842443157677469,0.32528313724545765,2.650073433421171,1.557591387474256,5,36.0,0.041641588437758024,0.6081140478462429,0.6567457832346684,9,0.22439366706393526,0.5708163082323425,0.7500000000000009,0.8149459761362965,0.17,0,
1132,2020-02-04,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9068129967100932,0.11434105361086591,0.08483108649974028,0.8030913282674081,0.2608556075789167,0.1769348580039547,0.8598992027951122,0.5652048143881159,0.44015463552094836,3.442362693967626,5.180391627190674,9.449677271436947,5.3652643820767665,0.42688121901491355,14.551466221474316,3.9950921468888874,6.4361177681584705,0.22041760324677184,1.6917150419185079,1.6377162750697618,76,36.0,0.040380051292017806,0.8593660978310547,0.6974429762441451,7,0.19684158701568658,0.5247130025225744,0.7500000000000009,0.7142076688155725,0.1,0,
1133,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9158486579239853,0.09774649820454986,0.053874840679637,0.724647349575265,0.26045562949190054,0.2297363470790286,0.8870920288949496,0.598814442502569,0.42557529281910184,2.2227686830788684,5.933699767638877,8.04454887041896,6.529923775687499,0.4121516587186474,16.06471467362646,4.172949897512593,7.6118348911448095,0.28915577050688934,1.5421823422415748,1.741359301515685,62,36.0,0.040469683894464606,0.8656633391803067,0.7622104729767187,7,0.2109516814595282,0.47518885840074404,0.7500000000000009,0.6481806165859484,0.46,0,
1134,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9158486579239853,0.09774649820454986,0.053874840679637,0.724647349575265,0.26045562949190054,0.2297363470790286,0.8870920288949496,0.598814442502569,0.42557529281910184,2.2227686830788684,5.933699767638877,8.04454887041896,6.529923775687499,0.4121516587186474,16.06471467362646,4.172949897512593,7.6118348911448095,0.28915577050688934,1.5421823422415748,1.741359301515685,40,36.0,0.040469683894464606,0.8656633391803067,0.7622104729767187,7,0.20937858218900973,0.5598044211265047,0.7500000000000009,0.6481806165859484,0.26,0,
1135,2020-02-09,0.99,0.01,0.0002,0.99,0.01,0.0002,0.924475687288407,0.09775944831578587,0.07984947246906016,0.8628425525564765,0.260981290581469,0.21871454938032892,0.8366160571686783,0.5401450430308767,0.45717662994487757,2.832126528537719,5.550019217831465,8.404345936725035,6.413329469184148,0.4465011609059571,16.738742887249764,3.417610247685199,7.415894761447739,0.3477002510732672,1.257901546178131,1.3611896693636067,22,36.0,0.04060971052441432,0.8219180070366268,0.5906774090789539,10,0.11250503656331148,0.5373546780756375,0.7500000000000009,0.6655021873863733,0.43,0,
1136,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8644876427393496,0.1132066203422282,0.06618117197643836,0.7437268620677885,0.25703233345442267,0.22331138297507652,0.7372394993873364,0.5192236674663351,0.47666046131837647,2.422122184880819,4.459896876823999,8.070971302050827,5.691811712959651,0.44811443674722884,15.170307385573896,3.3887186781489445,7.637944736305528,0.3560432900074445,1.0701603502050174,1.645018506202942,51,36.0,0.0402975180275447,0.895712109132581,0.7078277073449524,4,0.22806557605923153,0.5326711683341454,0.7500000000000009,0.6089259002616096,0.31,0,
1137,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.9397609459553885,0.10035612988799028,0.0737007348850463,0.8864391293078158,0.2524725565083199,0.23440834190189527,0.8411947049356899,0.599089636641095,0.4079200825652326,3.4875919798828523,4.728975973987219,8.417703193739552,6.787783006504263,0.4267375589693088,17.646575124686848,4.798606151636185,6.145658168615356,0.2810228563268998,2.4872776548085027,1.0168142969466527,3,36.0,0.04014878716210184,0.8435392666081771,0.8762012784985116,6,0.1735958703513391,0.54820475324429,0.7500000000000009,0.7797018942866045,0.1,0,
1138,2020-02-06,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8932094725430272,0.0920637361595192,0.05503552023393696,0.7329276206694963,0.2565109598307956,0.2000624274975427,0.7639591613126021,0.5624844497873509,0.46299714659611346,2.4141894619541153,5.397676621956778,8.711263807052871,5.511045933648607,0.41409776791239694,15.716018450264137,4.060670143367184,6.703888035498526,0.20593901537343626,1.8342600166375058,1.2040655367157767,47,36.0,0.04029633064657085,0.8300558344617976,0.7566976778845584,9,0.10642434284369202,0.5436931808289025,0.7500000000000009,0.5430706129289443,0.24,0,
