key,startDate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans
177,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.080552927,0.08259324,0.837356239,0.256323907,0.249588157,0.719273784,0.588688416,0.422636938,3.310169117,4.662246907,8.464685039,5.60861736,0.442871798,15.1207902,4.211127925,6.856887552,0.349786552,2.545320456,1.520234895,91,36,0.038495936,0.658402873,0.525785321,9,0.39,0.46,0.83,0.620601658
218,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.915568577,0.117492188,0.063157595,0.856089836,0.233260781,0.204120764,0.766350094,0.501822333,0.436998453,3.968985262,5.882210018,8.833590334,5.308741039,0.442871798,10.61608019,4.211127925,6.537252306,0.20879228,1.351708991,1.460312432,13,36,0.038495936,0.673353596,0.712486283,9,0.18,0.63,0.83,0.601538558
268,2/27/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.115681259,0.08259324,0.704129031,0.241829686,0.154593311,0.766350094,0.504104218,0.465536582,2.094660557,5.120392268,8.456195743,5.497958601,0.428476715,10.63278555,3.824147562,5.322376627,0.270057075,2.423663221,1.334272427,65,36,0.03734065,0.87148081,0.799465392,1,0.37,0.41,0.79,0.620601658
482,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.099519138,0.070746924,0.755800913,0.253419114,0.196518437,0.782805528,0.512183045,0.465536582,3.771300537,4.910075395,9.472625295,5.507587627,0.418048813,15.1207902,4.001796481,7.011662483,0.244268967,1.795963144,1.435693554,57,36,0.03734065,0.754891566,0.525785321,9,0.24,0.57,0.83,0.586305343
59,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.099519138,0.085933837,0.875578802,0.260004699,0.196518437,0.719273784,0.512183045,0.465536582,2.074475761,4.581718671,8.900275766,6.868179501,0.442871798,9.088788738,3.519622042,7.841599905,0.269950265,2.84844894,1.781931412,40,36,0.038981443,0.632675899,0.712486283,1,0.36,0.48,0.77,0.620601658
317,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.115681259,0.08259324,0.777153395,0.26671743,0.150287875,0.795469704,0.504104218,0.465536582,3.013865152,4.322676164,8.660785259,6.693141569,0.430113746,10.63278555,4.627053934,5.322376627,0.270057075,2.84844894,1.460312432,68,36,0.03734065,0.87148081,0.799465392,9,0.37,0.41,0.83,0.600259852
354,2/19/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.884934885,0.091505429,0.060468137,0.704129031,0.231335789,0.249588157,0.795469704,0.588688416,0.472788397,3.771300537,4.945154887,8.118793467,6.013340349,0.425276924,9.715542107,3.757245241,7.69312154,0.305743978,2.673223765,1.460312432,13,36,0.03734065,0.695296516,0.665965102,8,0.16,0.59,0.77,0.620601658
285,2/3/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.915754417,0.101297552,0.084291662,0.837356239,0.246431286,0.240440386,0.795469704,0.561929613,0.427361962,2.33496126,4.581718671,8.685702048,5.833071968,0.431313127,9.887074151,4.242053611,7.234952943,0.242880268,1.191193423,1.435693554,78,36,0.039206936,0.871303199,0.635423906,7,0.24,0.48,0.75,0.620601658
425,2/27/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911662031,0.115681259,0.08832941,0.764752538,0.231335789,0.249588157,0.89109779,0.592669884,0.472788397,3.482052183,4.758442,8.464685039,6.336904428,0.425276924,10.83483761,3.207472939,5.202030193,0.305743978,2.050394597,1.435693554,25,36,0.039206936,0.658402873,0.5666476,2,0.38,0.6,0.77,0.808296726
378,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.103882962,0.060468137,0.779240962,0.255232652,0.249588157,0.877061719,0.552525581,0.44915925,3.771300537,4.945154887,8.522890038,5.60861736,0.423054767,9.528832374,4.627053934,7.69312154,0.244268967,1.870466907,1.781931412,25,36,0.03734065,0.677124806,0.5666476,3,0.18,0.64,0.8,0.870944974
19,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.099519138,0.073807676,0.764752538,0.231335789,0.17886182,0.827136057,0.552525581,0.465536582,3.451188522,4.893479712,8.685702048,5.497958601,0.413833515,10.06497676,3.519622042,7.31331109,0.294624133,1.942010244,1.520234895,13,36,0.037626373,0.677124806,0.525785321,9,0.38,0.59,0.9,0.600259852
106,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866099225,0.115681259,0.099381814,0.777153395,0.26671743,0.196518437,0.788732906,0.599531386,0.465536582,2.734161233,5.120392268,8.456195743,6.693141569,0.443405985,10.48819769,4.627053934,7.459162817,0.269950265,1.870466907,1.927196229,56,36,0.03734065,0.729510497,0.70186657,6,0.37,0.41,0.9,0.586305343
54,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911662031,0.091505429,0.08259324,0.704129031,0.239088016,0.249588157,0.766350094,0.552525581,0.44915925,3.771300537,5.120392268,8.522890038,5.469030864,0.405166711,9.528832374,4.211127925,5.202030193,0.242880268,1.870466907,1.460312432,76,36,0.039206936,0.677124806,0.80430164,4,0.29,0.64,0.77,0.620601658
187,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.105194071,0.070746924,0.704129031,0.241829686,0.249588157,0.766350094,0.599531386,0.436998453,2.094660557,4.910075395,8.660785259,5.308741039,0.428476715,9.528832374,4.627053934,7.573712809,0.20879228,1.870466907,1.781931412,78,36,0.038495936,0.658402873,0.5666476,1,0.32,0.63,0.9,0.601538558
290,2/24/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.090977819,0.094059252,0.737666026,0.233260781,0.248032583,0.719273784,0.576147654,0.465339341,3.507224427,5.120392268,8.104289863,5.308741039,0.448470255,9.528832374,4.627053934,5.373789185,0.270057075,1.870466907,1.460312432,76,36,0.039066893,0.754891566,0.635423906,4,0.36,0.41,0.74,0.641064169
180,2/16/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866099225,0.115681259,0.084291662,0.777153395,0.26671743,0.249588157,0.877061719,0.520610053,0.465536582,3.589867702,4.662246907,8.702701493,5.308741039,0.443405985,16.54607567,4.252754694,5.373789185,0.270057075,1.795963144,1.425737098,78,36,0.03734065,0.729510497,0.635423906,9,0.37,0.61,0.8,0.620601658
155,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.091505429,0.08259324,0.779240962,0.249820297,0.240010586,0.788732906,0.552525581,0.44915925,3.771300537,4.581718671,8.522890038,5.60861736,0.412479918,9.528832374,4.627053934,5.373789185,0.20879228,1.870466907,1.460312432,76,36,0.039066893,0.677124806,0.605870814,9,0.28,0.64,0.83,0.620601658
344,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.915568577,0.117006433,0.08832941,0.764752538,0.267120465,0.17886182,0.766350094,0.589611537,0.465536582,3.013865152,4.06694634,8.685702048,6.449834951,0.442871798,16.32421491,3.519622042,7.31331109,0.269965598,1.795963144,1.435693554,13,36,0.037626373,0.658402873,0.665965102,10,0.38,0.43,0.83,0.600259852
214,2/3/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.85442185,0.101297552,0.061989754,0.704129031,0.233260781,0.223347714,0.788732906,0.599531386,0.436998453,3.764331958,5.066175683,9.712036223,6.803763689,0.42144096,15.73056875,4.383994491,7.841599905,0.294624133,1.191193423,1.210199089,78,36,0.039206936,0.745764249,0.635423906,7,0.24,0.41,0.83,0.586305343
364,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.884934885,0.117006433,0.060468137,0.781021476,0.231335789,0.154593311,0.766350094,0.588688416,0.472788397,2.094660557,4.122941459,8.660785259,6.868179501,0.418990904,9.528832374,4.599156369,5.072820859,0.349786552,1.730039634,1.334272427,13,36,0.037626373,0.673353596,0.755230614,8,0.31,0.42,0.9,0.620601658
341,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.109606319,0.084291662,0.716677474,0.233260781,0.192319634,0.70311865,0.552525581,0.465536582,3.507224427,5.687985526,8.35829491,5.918035701,0.42144096,10.48819769,4.657928891,7.841599905,0.326345379,1.795963144,1.778918172,78,36,0.037626373,0.875009419,0.635423906,3,0.22,0.6,0.74,0.601538558
343,2/24/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.884934885,0.114524218,0.093749865,0.704129031,0.231335789,0.17886182,0.719273784,0.588688416,0.449379292,3.482052183,4.122442899,8.522890038,5.60861736,0.425276924,9.528832374,3.592800991,6.211209826,0.305743978,1.730039634,1.520234895,2,36,0.038495936,0.658402873,0.525785321,8,0.28,0.59,0.83,0.620601658
293,2/24/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.918039399,0.101422444,0.061989754,0.704129031,0.254050352,0.204120764,0.766350094,0.599531386,0.465536582,3.968985262,4.758442,8.456195743,5.17680579,0.436751609,16.54607567,4.242053611,6.537252306,0.269950265,1.550978745,1.460312432,13,36,0.038981443,0.69136307,0.824217891,4,0.33,0.63,0.88,0.601538558
249,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911662031,0.099519138,0.060468137,0.871186641,0.231335789,0.248032583,0.872823768,0.515869283,0.436125032,3.013865152,5.811996489,8.480200157,6.595651556,0.401327126,15.1207902,3.019915529,5.322376627,0.244268967,2.84844894,1.460312432,68,36,0.039066893,0.604171441,0.5666476,9,0.24,0.48,0.9,0.600259852
330,2/6/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866099225,0.099519138,0.084291662,0.764752538,0.233260781,0.160520598,0.877061719,0.552525581,0.465536582,2.213200666,4.910075395,9.472625295,6.990647702,0.418990904,15.1207902,4.627053934,7.347470805,0.270057075,1.942010244,1.778918172,56,36,0.039687939,0.702809716,0.676591207,4,0.24,0.41,0.73,0.601538558
332,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.93345038,0.115681259,0.054632754,0.746564396,0.233260781,0.210247251,0.782805528,0.501880602,0.427361962,2.213200666,4.910075395,8.95922422,5.746030243,0.418990904,16.54607567,4.900786918,7.841599905,0.326345379,1.795963144,1.778918172,78,36,0.039687939,0.702809716,0.676591207,3,0.28,0.41,0.73,0.620601658
363,2/3/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.915754417,0.093468274,0.072782367,0.837356239,0.23965763,0.249588157,0.719273784,0.529782368,0.427361962,2.779826336,5.721729216,8.660785259,5.17680579,0.443024358,16.54607567,4.242053611,7.234952943,0.269965598,1.870466907,1.778918172,76,36,0.038981443,0.658402873,0.635423906,6,0.2,0.4,0.9,0.586305343
126,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.109148977,0.08259324,0.875578802,0.267171597,0.241686713,0.788732906,0.557764776,0.475025012,3.040380122,4.014873731,8.464685039,5.991144692,0.431870127,9.528832374,3.426785956,7.570657649,0.364581808,2.673223765,1.778918172,25,36,0.039206936,0.894089424,0.605870814,4,0.18,0.45,0.8,0.808296726
478,2/19/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866826175,0.115681259,0.061989754,0.704129031,0.239088016,0.196518437,0.766350094,0.515869283,0.418261062,3.013865152,4.122941459,8.833590334,5.60861736,0.42144096,15.1207902,4.211127925,5.322376627,0.294624133,1.795963144,1.435693554,76,36,0.038495936,0.777690017,0.5666476,1,0.24,0.48,0.83,0.84431116
79,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.091505429,0.062774761,0.779240962,0.231335789,0.178784486,0.766350094,0.552525581,0.44915925,3.771300537,4.581718671,8.685702048,5.308741039,0.405166711,9.528832374,4.001284249,5.373789185,0.356156138,1.870466907,1.460312432,76,36,0.039066893,0.677124806,0.5666476,9,0.18,0.64,0.83,0.620601658
224,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.114524218,0.093749865,0.704129031,0.248276145,0.17886182,0.719273784,0.543274597,0.449379292,2.151459395,4.077828433,8.685702048,5.60861736,0.42144096,15.1207902,4.599156369,7.787964028,0.356156138,1.550978745,1.460312432,2,36,0.038495936,0.663083225,0.525785321,6,0.31,0.41,0.83,0.585674761
342,2/24/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.884934885,0.091505429,0.060468137,0.704129031,0.248276145,0.17886182,0.851374876,0.58324296,0.472788397,3.771300537,4.868835956,8.464685039,5.60861736,0.429007486,15.1207902,4.438239142,7.787964028,0.349786552,1.550978745,1.520234895,2,36,0.038495936,0.658402873,0.635028686,6,0.28,0.59,0.83,0.601538558
308,2/11/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.115681259,0.061989754,0.704129031,0.259807336,0.154593311,0.766350094,0.501880602,0.427361962,2.094660557,5.120392268,8.95922422,5.497958601,0.428476715,16.54607567,4.657928891,6.537252306,0.326345379,2.423663221,1.778918172,65,36,0.038495936,0.658402873,0.525785321,1,0.31,0.41,0.9,0.620601658
133,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.867849863,0.090266645,0.094059252,0.885639535,0.250282548,0.249588157,0.766350094,0.580872245,0.449379292,2.975329779,5.051686759,8.522890038,6.868179501,0.442871798,9.088788738,4.001796481,6.537252306,0.244268967,1.795963144,1.460312432,13,36,0.03734065,0.604171441,0.80430164,9,0.16,0.63,0.8,0.601538558
110,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.085169554,0.094059252,0.746564396,0.231335789,0.154593311,0.782805528,0.599531386,0.436998453,2.915995809,5.051686759,8.900275766,6.868179501,0.417223953,9.528832374,4.599156369,7.841599905,0.349786552,1.191193423,1.460312432,78,36,0.038495936,0.604171441,0.635423906,7,0.16,0.41,0.83,0.620601658
345,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.915568577,0.117006433,0.073807676,0.722164451,0.231335789,0.249588157,0.766350094,0.589611537,0.465536582,2.734161233,4.893479712,8.685702048,5.497958601,0.442871798,10.06497676,3.519622042,7.31331109,0.294624133,1.942010244,1.520234895,13,36,0.037626373,0.717317216,0.525785321,9,0.16,0.45,0.9,0.600259852
457,2/24/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.085169554,0.052840835,0.781021476,0.231335789,0.247562806,0.766350094,0.501880602,0.427361962,3.507224427,5.051686759,8.660785259,6.812714493,0.405174828,9.79282321,4.001796481,5.373789185,0.349786552,1.550978745,1.460312432,13,36,0.038495936,0.658402873,0.727022455,4,0.38,0.62,0.77,0.601538558
129,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.099519138,0.084291662,0.737666026,0.260997488,0.249588157,0.782805528,0.501880602,0.427361962,3.507224427,5.870757954,8.104289863,5.075051263,0.418990904,9.528832374,4.657928891,7.573712809,0.294624133,1.550978745,1.435693554,78,36,0.039206936,0.729510497,0.525785321,4,0.38,0.41,0.82,0.620601658
370,2/19/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.869737895,0.095956077,0.056337058,0.704129031,0.239088016,0.196518437,0.838522985,0.515869283,0.436998453,3.181667089,4.893479712,8.592335201,5.497958601,0.43859774,16.54607567,4.599156369,5.202030193,0.20879228,2.84844894,1.460312432,13,36,0.038495936,0.673353596,0.80430164,9,0.18,0.48,0.83,0.601538558
403,2/18/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.915754417,0.089692909,0.072782367,0.837356239,0.231335789,0.20217456,0.719273784,0.515869283,0.44915925,2.33496126,4.122941459,8.079043465,6.868179501,0.418990904,9.528832374,4.86690368,7.234952943,0.349786552,1.550978745,1.520234895,13,36,0.039206936,0.673353596,0.525785321,9,0.24,0.41,0.9,0.620601658
259,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.864055852,0.115681259,0.060468137,0.888020355,0.241829686,0.228264652,0.70311865,0.552525581,0.427361962,3.482052183,5.051686759,8.522890038,5.746030243,0.42144096,16.54607567,4.657928891,6.516190111,0.349786552,1.870466907,1.588235987,76,36,0.037626373,0.658402873,0.70186657,4,0.24,0.63,0.9,0.641064169
