state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-15,1,POST,F,1,-0.153470021,F,1,-0.340363481,F,1,-0.257338264,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-16,2,POST,F,1,-0.109977651,F,1,-0.323919501,F,1,0.201538595,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-17,3,POST,F,1,-0.162595868,F,1,-0.491588723,F,1,-0.217929785,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-18,4,POST,F,1,-0.077006861,F,1,-0.545569056,F,1,-0.249376217,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-19,5,POST,F,1,-0.182263025,F,1,-0.546237156,F,1,-0.219281142,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-20,6,POST,D,2,-0.249520289,F,1,-0.690622272,B,4,-0.383964026,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-21,7,POST,C-,2.7,-0.371393594,D,2,-0.681683398,B,4,-0.560115179,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-22,1,POST,C,3,-0.411232008,C,3,-0.663014285,B,4,-0.519172728,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-23,2,POST,C-,2.7,-0.306271544,D,2,-0.656495703,B,4,-0.444775071,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-24,3,POST,C-,2.7,-0.336478516,D,2,-0.669922734,B,4,-0.537836058,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-25,4,POST,C-,2.7,-0.351602519,D,2,-0.689493573,B,4,-0.539077845,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-26,5,POST,D+,2.3,-0.287526854,D,2,-0.643900086,C,3,-0.431224982,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-27,6,POST,D+,2.3,-0.373714028,D,2,-0.673408663,B,4,-0.376988104,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-28,7,POST,C+,3.3,-0.456112767,C,3,-0.704643159,A,5,-0.427170913,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-29,1,POST,C,3,-0.433493549,C,3,-0.672109538,B,4,-0.57983768,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-30,2,POST,D+,2.3,-0.282250664,D,2,-0.606461553,C,3,-0.53079727,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-03-31,3,POST,C,3,-0.375534401,D,2,-0.704082395,A,5,-0.710609615,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-01,4,POST,C-,2.7,-0.371043721,D,2,-0.694438142,B,4,-0.646845632,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-02,5,POST,C,3,-0.338164932,D,2,-0.711892895,A,5,-0.637870669,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-03,6,POST,C,3,-0.44587348,C,3,-0.676654658,B,4,-0.576715687,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-04,7,POST,C+,3.3,-0.469924255,C,3,-0.761304229,A,5,-0.646010752,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-05,1,POST,B,4,-0.569628676,B,4,-0.738939876,A,5,-0.748805389,C,3
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-06,2,POST,C,3,-0.320923021,D,2,-0.701605858,A,5,-0.671109341,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-07,3,POST,C-,2.7,-0.35140936,D,2,-0.672246521,B,4,-0.707530994,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-08,4,POST,C-,2.7,-0.380970141,D,2,-0.684549004,B,4,-0.655977136,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-09,5,POST,C-,2.7,-0.361559945,D,2,-0.66971163,B,4,-0.645332412,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-10,6,POST,C,3,-0.456912315,C,3,-0.692368224,B,4,-0.541702894,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-11,7,POST,C,3,-0.427907759,C,3,-0.660819549,B,4,-0.453414302,D,2
