,George Washington University Hospital,Hadley Memorial Hospital,Howard University Hospital,MedStar Georgetown University ,Sibley Memorial Hospital,Providence Hospital,United Medical Center,MedStar Washington Hospital Center,Other D.C. Hospitals,Virginia,Meritus Medical Center,University of Maryland Medical Center,Prince George's Hospital Center,Holy Cross Hospital,Frederick Memorial Hospital,Mercy Medical Center,Johns Hopkins Hospital,Dorchester (UMSRH),St. Agnes Hospital,Sinai Hospital of Baltimore,White Oak Medical Center,Garrett Memorial Hospital (WVU),Montgomery Medical Center (MedStar),Peninsula Regional Medical Center,Suburban Hospital,Anne Arundel Medical Center,Union Memorial Hospital (MedStar),Western Maryland Medical Center (UPMC),St. Mary's Hospital,Johns Hopkins Bayview Medical Center,Chestertown (UMSRH),Carroll Hospital Center,Harbor Hospital (MedStar),Charles Regional (UM),Easton (UMSRH),UMM Center Midtown Campus (acute) (Formerly Maryland General),Calvert Memorial Hospital,Northwest Hospital,Baltimore Washington Medical Center,Greater Baltimore Medical Center,Howard County General Hospital (JHM),Doctors Community Hospital,Greater Laurel,Good Samaritan Hospital (MedStar),Shady Grove Adventist Hospital,Fort Washington Hospital,Atlantic General Hospital,Southern Maryland Hospital (MedStar),St. Joseph's (UM),Holy Cross Germantown,Queenstown Emergency Center,Franklin Square (MedStar),Grace Medical Center,Union Hospital of Cecil County,Upper Chesapeake Medical Center (UMUCH),Edward McCready Memorial Hospital,Harford Memorial Hospital (UMUCH)
21040,0,0,0,0,0,0,0,0,0,0,0,0.006024096,0,0,0,0.008032129,0.02811245,0,0.008032129,0.004016064,0,0,0,0.002008032,0,0,0.004016064,0,0,0.012048193,0,0,0.002008032,0,0,0.002008032,0.002008032,0.002008032,0.002008032,0.010040161,0,0,0,0.010040161,0.002008032,0.002008032,0,0,0.008032129,0,0,0.126506024,0.004016064,0,0.700803213,0,0.054216867
21042,0,0,0,0,0,0,0,0,0,0,0,0.017647059,0,0,0,0,0.029411765,0.005882353,0.047058824,0.011764706,0,0,0,0,0,0,0,0,0,0.005882353,0.011764706,0,0,0,0,0,0,0.005882353,0,0.005882353,0.847058824,0,0,0,0,0,0.005882353,0.005882353,0,0,0,0,0,0,0,0,0
21043,0,0,0,0,0,0,0,0,0,0,0,0.020547945,0,0,0,0.003424658,0.030821918,0,0.089041096,0.003424658,0,0,0.003424658,0,0,0,0,0,0,0.003424658,0,0,0.006849315,0,0,0,0.003424658,0.006849315,0.017123288,0.003424658,0.797945205,0,0,0.003424658,0,0,0.003424658,0,0.003424658,0,0,0,0,0,0,0,0
21044,0,0,0,0,0,0,0,0,0,0,0,0.009689922,0,0,0,0.005813953,0.015503876,0,0.015503876,0.001937984,0,0,0,0,0.001937984,0.001937984,0.001937984,0,0,0,0,0,0.005813953,0,0,0,0,0.001937984,0.007751938,0.001937984,0.914728682,0.001937984,0.005813953,0.003875969,0,0,0,0,0.001937984,0,0,0,0,0,0,0,0
21045,0,0,0,0,0,0,0,0,0,0,0,0.015053763,0,0,0,0.006451613,0.015053763,0,0.019354839,0.002150538,0,0,0,0,0,0.002150538,0.002150538,0,0,0,0,0,0.002150538,0,0,0.002150538,0,0.004301075,0.008602151,0.002150538,0.903225806,0,0.008602151,0.002150538,0,0,0,0,0.002150538,0,0,0.002150538,0,0,0,0,0
21046,0,0,0,0,0,0,0,0,0,0,0,0.013071895,0,0.006535948,0,0.006535948,0.013071895,0,0.026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0.908496732,0,0.006535948,0.006535948,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0
21047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0.117647059,0.019607843,0,0,0,0,0,0,0,0.078431373,0,0,0.019607843,0,0,0.705882353,0,0.019607843
21048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0.011235955,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0.887640449,0.011235955,0,0,0,0,0,0.011235955,0.02247191,0.011235955,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0.011235955,0,0
21050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0,0,0,0,0,0,0,0.031578947,0,0,0,0,0,0,0.010526316,0,0.031578947,0.010526316,0,0.031578947,0,0,0.831578947,0,0.031578947
21051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
